,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
70,MIL,MIL vs. IND,03/22/2021,W,240,140,53,94,56.4,24,39,61.5,10,15,66.7,8,47,55,35,3,5,16,16,27
71,HOU,HOU vs. TOR,03/22/2021,W,240,117,41,90,45.6,14,36,38.9,21,26,80.8,10,37,47,28,7,7,12,21,18
72,TOR,TOR @ HOU,03/22/2021,L,240,99,37,87,42.5,10,40,25.0,15,19,78.9,8,36,44,19,6,5,15,24,-18
73,BOS,BOS @ MEM,03/22/2021,L,265,126,47,90,52.2,17,35,48.6,15,24,62.5,5,38,43,31,3,6,13,18,-6
74,MEM,MEM vs. BOS,03/22/2021,W,265,132,55,110,50.0,12,35,34.3,10,15,66.7,17,37,54,38,8,6,10,20,6
75,UTA,UTA @ CHI,03/22/2021,W,240,120,45,92,48.9,17,39,43.6,13,15,86.7,10,36,46,25,9,10,9,16,25
76,CHI,CHI vs. UTA,03/22/2021,L,240,95,39,96,40.6,6,26,23.1,11,12,91.7,14,35,49,21,5,3,14,14,-25
77,CHA,CHA @ SAS,03/22/2021,W,240,100,34,81,42.0,12,32,37.5,20,23,87.0,7,33,40,27,5,7,15,14,3
78,SAS,SAS vs. CHA,03/22/2021,L,240,97,36,78,46.2,11,32,34.4,14,17,82.4,5,33,38,17,5,9,14,22,-3
79,MIN,MIN vs. OKC,03/22/2021,L,240,103,38,92,41.3,14,39,35.9,13,18,72.2,11,31,42,24,11,4,12,17,-9
80,OKC,OKC @ MIN,03/22/2021,W,240,112,41,87,47.1,21,37,56.8,9,10,90.0,9,38,47,27,8,10,17,14,9
81,CLE,CLE vs. SAC,03/22/2021,L,240,105,41,96,42.7,4,17,23.5,19,23,82.6,10,29,39,22,13,4,10,11,-14
82,SAC,SAC @ CLE,03/22/2021,W,240,119,49,90,54.4,13,30,43.3,8,12,66.7,10,39,49,26,6,7,17,17,14
83,POR,POR vs. DAL,03/21/2021,L,240,92,34,89,38.2,9,41,22.0,15,19,78.9,9,24,33,17,7,3,7,17,-40
84,DAL,DAL @ POR,03/21/2021,W,240,132,48,86,55.8,19,37,51.4,17,20,85.0,8,44,52,23,4,3,11,17,40
85,LAL,LAL @ PHX,03/21/2021,L,240,94,35,85,41.2,5,25,20.0,19,28,67.9,7,34,41,20,3,2,11,18,-17
86,PHX,PHX vs. LAL,03/21/2021,W,240,111,42,87,48.3,9,32,28.1,18,23,78.3,9,42,51,30,7,6,11,24,17
87,PHI,PHI @ NYK,03/21/2021,W,265,101,38,82,46.3,11,25,44.0,14,23,60.9,8,36,44,19,12,9,20,18,1
88,NYK,NYK vs. PHI,03/21/2021,L,265,100,38,88,43.2,11,24,45.8,13,23,56.5,13,31,44,16,13,2,17,19,-1
89,CLE,CLE vs. TOR,03/21/2021,W,240,116,39,77,50.6,17,33,51.5,21,28,75.0,7,47,54,29,8,4,27,19,11
90,TOR,TOR @ CLE,03/21/2021,L,240,105,37,95,38.9,15,46,32.6,16,19,84.2,9,28,37,19,13,3,14,26,-11
91,DET,DET vs. CHI,03/21/2021,L,240,86,32,82,39.0,4,25,16.0,18,25,72.0,8,29,37,20,11,5,15,16,-14
92,CHI,CHI @ DET,03/21/2021,W,240,100,37,80,46.3,14,28,50.0,12,14,85.7,9,43,52,26,8,8,21,22,14
93,BKN,BKN vs. WAS,03/21/2021,W,240,113,44,90,48.9,9,29,31.0,16,22,72.7,10,25,35,24,11,8,7,18,7
94,WAS,WAS @ BKN,03/21/2021,L,240,106,42,79,53.2,7,21,33.3,15,19,78.9,10,33,43,24,5,4,19,22,-7
95,ORL,ORL @ BOS,03/21/2021,L,240,96,32,84,38.1,11,34,32.4,21,30,70.0,9,35,44,20,6,4,6,13,-16
96,BOS,BOS vs. ORL,03/21/2021,W,240,112,40,88,45.5,23,55,41.8,9,9,100,7,38,45,27,6,3,10,21,16
97,DEN,DEN vs. NOP,03/21/2021,L,240,108,44,88,50.0,12,34,35.3,8,10,80.0,10,27,37,30,9,5,15,28,-5
98,NOP,NOP @ DEN,03/21/2021,W,240,113,41,85,48.2,8,28,28.6,23,30,76.7,14,31,45,26,8,7,16,12,5
99,OKC,OKC @ HOU,03/21/2021,W,240,114,42,91,46.2,13,39,33.3,17,25,68.0,19,33,52,22,8,2,18,21,2
100,HOU,HOU vs. OKC,03/21/2021,L,240,112,39,79,49.4,14,38,36.8,20,27,74.1,8,30,38,22,7,4,16,20,-2
101,IND,IND @ MIA,03/21/2021,W,265,109,38,98,38.8,15,45,33.3,18,20,90.0,13,37,50,27,8,10,15,22,3
102,MIA,MIA vs. IND,03/21/2021,L,265,106,39,97,40.2,9,37,24.3,19,23,82.6,13,38,51,27,7,7,16,19,-3
103,LAC,LAC vs. CHA,03/20/2021,W,240,125,45,86,52.3,12,34,35.3,23,23,100,9,33,42,26,9,1,10,25,27
104,CHA,CHA @ LAC,03/20/2021,L,240,98,31,80,38.8,15,41,36.6,21,28,75.0,13,26,39,25,5,4,14,20,-27
105,SAS,SAS @ MIL,03/20/2021,L,240,113,46,96,47.9,12,33,36.4,9,10,90.0,5,36,41,29,6,4,9,11,-7
106,MIL,MIL vs. SAS,03/20/2021,W,240,120,45,92,48.9,14,38,36.8,16,18,88.9,6,43,49,24,5,3,11,11,7
107,PHI,PHI vs. SAC,03/20/2021,W,240,129,48,86,55.8,11,23,47.8,22,29,75.9,9,43,52,24,7,3,11,22,24
108,SAC,SAC @ PHI,03/20/2021,L,240,105,39,85,45.9,10,28,35.7,17,27,63.0,4,29,33,28,4,2,8,21,-24
